Basic cases;;;;;;
;;;;;;
B-LOC;O;O;O;B-ORG;O;
London;mellett;ülésezett;a;NOB;.;
Peking;;;;MOB;;
Rio;;;;;;
Sydney;;;;;;
Athén;;;;;;
Barcelona;;;;;;
Atlanta;;;;;;
;;;;;;
;;;;;;
B-MISC;O;O;O;B-ORG;O;
London;előtt;ülésezett;a;NOB;.;
Peking;után;;;MOB;;
Rio;;;;;;
Sydney;;;;;;
Athén;;;;;;
Barcelona;;;;;;
Atlanta;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
O;B-ORG;B-LOC;O;O;O;
A;NOB;London;mellett;ülésezett;.;
;MOB;Peking;;;;
;;Rio;;;;
;;Sydney;;;;
;;Athén;;;;
;;Barcelona;;;;
;;Atlanta;;;;
;;;;;;
;;;;;;
O;B-ORG;B-MISC;O;O;O;
A;NOB;London;előtt;ülésezett;.;
;MOB;Peking;után;;;
;;Rio;;;;
;;Sydney;;;;
;;Athén;;;;
;;Barcelona;;;;
;;Atlanta;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
B-LOC;O;O;O;O;B-ORG;O
London;mellett;nem;ülésezett;a;NOB;.
Peking;;;;;MOB;
Rio;;;;;;
Sydney;;;;;;
Athén;;;;;;
Barcelona;;;;;;
Atlanta;;;;;;
;;;;;;
;;;;;;
B-MISC;O;O;O;O;B-ORG;O
London;előtt;nem;ülésezett;a;NOB;.
Peking;után;;;;MOB;
Rio;;;;;;
Sydney;;;;;;
Athén;;;;;;
Barcelona;;;;;;
Atlanta;;;;;;
